"title","length","budget","rating","mpaa"
"Atlantic City",104,7200000,7.5,"Missing"
"Atlantida",93,1000000,7.6,"Missing"
"Atlantis: The Lost Empire",95,90000000,6.4,"PG"
"Atlas",79,70000,4,"Missing"
"Atomic Submarine, The",72,135000,3.9,"Missing"
"Atrapados",26,3500,9.4,"Missing"
"Attack of the 50 Foot Woman",65,88000,4.5,"Missing"
"Attack of the Crab Monsters",62,70000,4,"Missing"
"Attack of the Giant Leeches",62,70000,2.8,"Missing"
"Attic Expeditions, The",100,1000000,5.4,"R"
"Attic Man",10,6000,8.7,"Missing"
"Attila",100,900000,5.2,"Missing"
"Auch Zwerge haben klein angefangen",96,200000,7.2,"Missing"
"Aura",22,19000,8.5,"Missing"
"Aurora",87,90000,4.5,"Missing"
"Austerlitz",122,4000000,5.1,"Missing"
"Austin Powers in Goldmember",94,63000000,6.2,"PG-13"
"Austin Powers: International Man of Mystery",94,17000000,7,"PG-13"
"Austin Powers: The Spy Who Shagged Me",95,33000000,6.5,"PG-13"
"Auteur Theory, The",79,70000,4.5,"Missing"
"Auto Focus",105,7000000,6.7,"R"
"Automation",26,41000,6.1,"Missing"
"Autumn in New York",103,40000000,4.7,"PG-13"
"Avalon",106,8000000,6.8,"R"
"Avanti popolo",84,60000,8.8,"Missing"
"Avanti!",140,2750000,7.2,"Missing"
"Avatars",5,20000,3.3,"Missing"
"Avengers, The",89,60000000,3.4,"PG-13"
"Aviator, The",170,116000000,7.5,"PG-13"
"Awfully Big Adventure, An",112,4000000,5.8,"R"
"Ayurveda: Art of Being",102,300000,7.2,"Missing"
"BUtterfield 8",109,2500000,6,"Missing"
"Babe",89,30000000,7.4,"Missing"
"Babe: Pig in the City",97,80000000,6.5,"Missing"
"Babel",95,20000000,4.5,"Missing"
"Babes in Arms",93,748000,6.5,"Missing"
"Babes on Broadway",118,940068,6.5,"Missing"
"Baby Blue",119,2500000,6.4,"Missing"
"Baby Boy",130,16000000,6.2,"R"
"Baby Face",71,187000,6.4,"Missing"
"Baby Geniuses",97,13000000,2.4,"PG"
"Baby It's You",105,3000000,6.3,"Missing"
"Baby's Day Out",99,50000000,4.4,"Missing"
"Bacheha-Ye aseman",89,180000,7.6,"Missing"
"Bachelor Father, The",90,502000,5.5,"Missing"
"Bachelor, The",101,21000000,5,"PG-13"
"Back to God's Country",73,67000,6.4,"Missing"
"Back to the Future",111,19000000,8.1,"Missing"
"Back to the Future Part II",108,40000000,7,"Missing"
"Back to the Future Part III",118,40000000,6.7,"Missing"
"Back to the Future... The Ride",4,40000000,7.3,"Missing"
"Bad Boy Bubby",112,750000,7,"Missing"
"Bad Boys",118,23000000,6.4,"R"
"Bad Boys II",145,130000000,6.1,"R"
"Bad Company",116,70000000,5.4,"PG-13"
"Bad Dreams",84,4000000,4.2,"Missing"
"Bad Girls from Mars",86,52000,3.7,"Missing"
"Bad Moon",80,7000000,4.4,"R"
"Bad Santa",98,18000000,7.2,"R"
"Bad Seed, The",129,1000000,7.3,"Missing"
"Bad Taste",86,150000,6.9,"Missing"
"Bad and the Beautiful, The",118,1558000,7.6,"Missing"
"Badge, The",103,6000000,6.3,"R"
"Badkonake sefid",85,150000,7.4,"Missing"
"Badlands",94,500000,7.7,"Missing"
"Bait",119,35000000,5.6,"R"
"Ballad of Cable Hogue, The",121,3716946,7.2,"Missing"
"Ballad of Jack and Rose, The",112,1500000,6.2,"R"
"Ballistic: Ecks vs. Sever",91,70000000,3.4,"R"
"Bamboozled",135,10000000,6.3,"R"
"Bananas",82,2000000,7.1,"PG-13"
"Band Wagon, The",111,2169120,7.5,"Missing"
"Band of the Hand",109,8700000,4.9,"Missing"
"Bandits",123,80000000,6.7,"PG-13"
"Banger Sisters, The",98,10000000,5.6,"R"
"Bank Robbery, The",2,1000,5.7,"Missing"
"Baptists at Our Barbecue",92,500000,5.9,"PG"
"Barbarella",98,9000000,5.6,"Missing"
"Barbarian and the Geisha, The",105,3500000,4.7,"Missing"
"Barbarian, The",83,444399,6.2,"Missing"
"Barbarians, The",84,750000,4.5,"Missing"
"Barbarians, The",87,4000000,3.5,"Missing"
"Barbary Coast",91,778000,6.6,"Missing"
"Barbershop",102,12000000,6.6,"PG-13"
"Barbershop 2: Back in Business",106,18000000,5.7,"PG-13"
"Barcelona",101,3200000,6.6,"Missing"
"Barkleys of Broadway, The",109,2325420,6.6,"Missing"
"Barn Dance, The",7,5121,5.9,"Missing"
"Barney's Great Adventure",76,15000000,2.9,"Missing"
"Barriers",96,140000,8,"Missing"
"Barry Lyndon",184,11000000,8,"Missing"
"Barton Fink",116,9000000,7.5,"Missing"
"Bashful Bachelor, The",78,165000,5.7,"Missing"
"Basic",98,50000000,6.2,"R"
"Basic Instinct",128,49000000,6.7,"R"
"Basil",113,10000000,6.1,"R"
"Basket Case 2",90,2500000,3.9,"Missing"
"Basket, The",105,3000000,6.3,"PG"
"Bathing Beauty",101,2361000,6.1,"Missing"
"Batman",126,35000000,7.4,"Missing"
"Batman & Robin",125,110000000,3.6,"PG-13"
"Batman Forever",122,100000000,5.4,"PG-13"
"Batman Returns",126,80000000,6.5,"Missing"
"Batman: Dead End",8,30000,7.3,"Missing"
"Batoru rowaiaru",122,4500000,7.9,"Missing"
"Batoru rowaiaru II: Rekuiemu",155,9000000,4.8,"Missing"
"Battle Beyond the Stars",104,2000000,4.9,"Missing"
"Battle for the Planet of the Apes",96,1800000,4.9,"Missing"
"Battle of Britain",151,12000000,6.7,"Missing"
"Battle of Shaker Heights, The",90,1000000,6,"PG-13"
"Battlefield Earth: A Saga of the Year 3000",119,73000000,2.4,"PG-13"
"Be Cool",118,53000000,5.5,"PG-13"
"Be Good Daniel",20,4000,5.7,"Missing"
"Beach Party",101,350000,5.3,"Missing"
"Beach, The",119,50000000,5.8,"R"
"Bean",90,22000000,5.4,"PG-13"
"Bean Cake",12,12000,6.8,"Missing"
"Bear, The",110,221000,5.9,"Missing"
"Beast From 20,000 Fathoms, The",80,210000,6.3,"Missing"
"Beast of Yucca Flats, The",54,34000,1.5,"Missing"
"Beast of the City, The",86,230000,7.3,"Missing"
"Beast with a Million Eyes, The",75,23000,3.2,"Missing"
"Beaster",10,5000,6.9,"Missing"
"Beastmaster 2: Through the Portal of Time",107,6000000,3.1,"Missing"
"Beat the Devil",100,1000000,6.6,"Missing"
"Beat the Drum",114,1500000,7,"Missing"
"Beat, The",85,700000,8.5,"Missing"
"Beautiful",112,9000000,5.3,"PG-13"
"Beautiful Country, The",137,6000000,6.9,"R"
"Beautiful Mind, A",135,60000000,7.8,"PG-13"
"Beauty in Chaos",120,30000,8.8,"Missing"
"Beavis and Butt-Head Do America",81,12000000,6.2,"PG-13"
"Because of Winn-Dixie",106,14000000,5.9,"PG"
"Beccerra",30,3000,7.1,"Missing"
"Becket",148,3000000,8,"Missing"
"Becky Sharp",67,950000,6.2,"Missing"
"Bedazzled",93,48000000,5.9,"PG-13"
"Bedknobs and Broomsticks",139,20000000,6.5,"Missing"
"Beer Muscles",90,5000,9.3,"Missing"
"Beetle Juice",92,15000000,7.1,"Missing"
"Before Sunrise",105,2500000,7.8,"Missing"
"Before Sunset",80,10000000,8.3,"R"
"Begotten",78,33000,5.8,"Missing"
"Behind Enemy Lines",106,40000000,6.1,"PG-13"
"Behold a Pale Horse",121,3900000,6.7,"Missing"
"Being Human",122,30000000,4.8,"Missing"
"Being John Malkovich",113,13000000,7.9,"Missing"
"Being Julia",104,18000000,7.2,"R"
"Bela Donna",111,5500000,4.7,"Missing"
"Bela Lugosi Meets a Brooklyn Gorilla",74,50000,2.6,"Missing"
"Bellboy, The",72,900000,6.1,"Missing"
"Belle of New York, The",82,2606644,5.7,"Missing"
"Belle of the Nineties",73,800000,6.3,"Missing"
"Bells Are Ringing",127,2203123,6.8,"Missing"
"Bells of Innocence",110,2750000,2.7,"Missing"
"Belly",96,10000000,4.5,"R"
"Belly of the Beast",91,18000000,4.2,"R"
"Beloved",172,53000000,5.6,"R"
"Below the Belt",95,1500000,7.9,"Missing"
"Ben-Hur",151,3900000,8,"Missing"
"Ben-Hur",214,15000000,8.1,"Missing"
"Beneath the Planet of the Apes",95,3000000,5.8,"Missing"
"Beneath the Valley of the Ultra-Vixens",93,239000,5.2,"Missing"
"Benji",86,500000,5.7,"Missing"
"Beowulf",99,20000000,3.7,"R"
"Best Foot Forward",94,1125502,6.2,"Missing"
"Best Laid Plans",92,7000000,6.3,"R"
"Best Years of Our Lives, The",172,2100000,8.4,"Missing"
"Best in Show",90,6000000,7.5,"PG-13"
"Betrayal",90,750000,4.7,"Missing"
"Better Luck Tomorrow",98,250000,7.3,"R"
"Better Place, A",87,100000,5.8,"Missing"
"Better Than Sex",92,300000,6.8,"Missing"
"Bettie Page: Dark Angel",90,50000,3.4,"Missing"
"Beverly Hills Cop",105,15000000,7.1,"Missing"
"Beverly Hills Cop II",100,20000000,5.8,"Missing"
"Beverly Hills Cop III",104,50000000,4.7,"Missing"
"Beyond Atlantis",91,200000,3.9,"Missing"
"Beyond Borders",127,35000000,5.4,"R"
"Beyond Expectations",94,60000,7.6,"Missing"
"Beyond Rangoon",100,23000000,6.4,"R"
"Beyond Re-Animator",96,3000000,6.1,"R"
"Beyond the Mat",108,500000,7.3,"R"
"Beyond the Pale",96,350000,6.2,"Missing"
"Beyond the Sea",118,24000000,6.7,"PG-13"
"Beyond the Time Barrier",75,125000,4.3,"Missing"
"Beyond the Valley of the Dolls",111,900000,5.4,"Missing"
"Bible!",84,35000,3.6,"Missing"
"Bible, The",174,18000000,5.2,"Missing"
"Bicentennial Man",132,100000000,6.2,"PG"
"Big",104,18000000,7.2,"Missing"
"Big Bounce, The",88,50000000,4.7,"PG-13"
"Big Brass Ring, The",104,7000000,5.4,"R"
"Big Bully",90,15000000,4.2,"PG"
"Big Daddy",93,34200000,5.9,"PG-13"
"Big Doll House, The",95,125000,4.6,"Missing"
"Big Fat Liar",88,15000000,5.5,"PG"
"Big Fish",125,70000000,8.1,"PG-13"
"Big Fisherman, The",180,4000000,5.8,"Missing"
"Big Hit, The",91,13000000,5.7,"R"
"Big Jim McLain",90,826000,4.3,"Missing"
"Big Lebowski, The",117,15000000,8,"R"
"Big Momma's House",98,30000000,4.7,"PG-13"
"Big Parade, The",126,245000,8.7,"Missing"
"Big Picture, The",100,5000000,6.4,"Missing"
"Big Snatch, The",77,11000,4.4,"Missing"
"Big Tease, The",86,4000000,6.1,"R"
"Big Trouble",85,40000000,6.4,"PG-13"
"Big Trouble in Little China",99,25000000,6.7,"Missing"
"Big Wednesday",120,11000000,6.6,"Missing"
"Bigger Than the Sky",106,750000,7.3,"PG-13"
"Bijou",77,22000,6.9,"Missing"
"Bikini Beach",99,600000,4.9,"Missing"
"Bill & Ted's Bogus Journey",93,20000000,5.6,"Missing"
"Bill & Ted's Excellent Adventure",90,10000000,6.6,"Missing"
"Bill of Divorcement, A",70,300000,6.5,"Missing"
"Billy Elliot",110,5000000,7.7,"R"
"Billy Jack",114,800000,5.5,"Missing"
"Bingo",89,10000000,4.1,"Missing"
"Bingo Bus, A",30,4000,6.6,"Missing"
"Biohazard",84,250000,3.2,"Missing"
"Bird",161,9000000,7.1,"Missing"
"Birds, The",119,2500000,7.8,"Missing"
"Birdy in the Cage",9,2000,9,"Missing"
"Birth",100,20000000,6,"R"
"Birth of a Nation, The",125,110000,7.1,"Missing"
"Birth of the Blues",87,857283,6.2,"Missing"
"Birthday Girl",93,13000000,6.1,"R"
"Bitter Old Man",7,2000,8.8,"Missing"
"Black Canyon",25,3000,9.9,"Missing"
"Black Cat, The",65,95745,7.2,"Missing"
"Black Cauldron, The",80,44000000,6.2,"Missing"
"Black Gold",90,450000,6,"Missing"
"Black Gulch",15,55000,6,"Missing"
"Black Hawk Down",142,90000000,7.6,"R"
"Black Hills",60,414000,5.6,"Missing"
"Black Hole, The",98,18500000,5.4,"Missing"
"Black Knight",95,50000000,4.1,"PG-13"
"Black Legion",83,235000,6.8,"Missing"
"Black Rain",125,14000000,6.3,"Missing"
"Black Room, The",87,250000,4.5,"Missing"
"Black Sleep, The",82,225000,5.5,"Missing"
"Black Snake",82,300000,3.7,"Missing"
"Black Stallion, The",118,2700000,7,"Missing"
"Black and White",98,10000000,5.2,"R"
"Black-Eyed Susan",105,50000,7.4,"Missing"
"Blacktop",100,3500000,4.7,"R"
"Blackwater Elegy",19,40000,9,"Missing"
"Blade",110,45000000,6.8,"R"
"Blade II",108,55000000,6.6,"R"
"Blade Runner",117,28000000,8.2,"Missing"
"Blade: Trinity",124,65000000,5.7,"R"
"Blair Witch Mountain Project, The",12,7000,2.8,"Missing"
"Blair Witch Project, The",86,35000,6.1,"R"
"Blanche Fury",90,1500000,6.6,"Missing"
"Blast from the Past",112,35000000,6.4,"PG-13"
"Blaze Orange",16,0,9.6,"Missing"
"Blazing Saddles",93,2600000,7.7,"Missing"
"Bless the Child",107,40000000,5,"R"
"Blessing of Prometheus, The",20,0,6.1,"Missing"
"Blind Horizon",99,5100000,5.5,"R"
"Blind Husbands",68,125000,7.4,"Missing"
