"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"505","6th Day, The",2000,123,82000000,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"523","72 metra",2004,100,1600000,6,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"Missing",1,0,0,1,0,0,0
"531","7th Voyage of Sinbad, The",1958,88,650000,6.9,1224,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"Missing",1,0,0,0,0,0,0
"534","8 Mile",2002,110,41000000,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"541","80's Ending",2003,9,10000,8.3,15,0,0,0,0,4.5,4.5,4.5,34.5,24.5,24.5,"Missing",0,0,1,0,0,0,1
"550","8MM",1999,123,40000000,5.9,18541,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"558","90",2005,14,4000,9.1,10,0,14.5,0,0,0,0,0,0,14.5,84.5,"Missing",0,0,0,0,0,0,1
"582","9:30",2004,13,12000,7.1,11,4.5,0,0,14.5,0,4.5,0,14.5,4.5,34.5,"Missing",0,0,0,0,0,0,1
"632","A.N.I. 1240",2003,13,8000,5.9,9,14.5,14.5,0,0,0,24.5,34.5,0,14.5,14.5,"Missing",0,0,0,0,0,0,1
"644","ABCD",1999,105,200000,5.4,88,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"648","AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"688","Abandon",2002,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"698","Abbott and Costello Go to Mars",1953,81,754000,5.2,455,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"699","Abbott and Costello Meet Captain Kidd",1952,75,450000,5.3,255,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"710","Abby",1974,89,400000,5.9,75,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"711","Abby Singer",2003,79,1500,3.5,39,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,45.5,"Missing",0,0,0,0,0,0,0
"735","Aberdeen",2000,106,6500000,7.3,644,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"748","Able Edwards",2004,87,30000,6.2,24,14.5,4.5,4.5,0,0,14.5,14.5,14.5,24.5,14.5,"Missing",0,0,0,1,0,0,0
"749","Able's House Is Green, The",2003,13,6800,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,"Missing",0,0,0,1,0,0,1
"762","About Schmidt",2002,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,0,0
"763","About a Boy",2002,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG-13",0,0,1,1,0,0,0
"783","Abschied",1930,80,15000,6.7,14,4.5,4.5,0,4.5,4.5,14.5,14.5,4.5,24.5,14.5,"Missing",0,0,0,0,0,0,0
"794","Absolon",2003,96,8000000,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"802","Absolute Power",1997,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"806","Absolution",2001,23,13000,1.6,8,14.5,14.5,0,0,0,0,14.5,14.5,14.5,34.5,"Missing",0,0,0,0,0,0,1
"821","Abyss, The",1989,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"834","Accident",1967,105,600000,7.1,340,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"845","Accountant, The",1999,50,5000,6.3,19,4.5,0,4.5,4.5,4.5,0,24.5,4.5,24.5,34.5,"Missing",1,0,0,0,0,0,0
"855","Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"856","Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"857","Ace in the Hole",1951,111,1821052,7.9,1097,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,0,1,0,0,0
"902","Across the Wide Missouri",1951,78,5000000,6.1,209,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"903","Across to Singapore",1928,86,290000,6.4,53,0,0,0,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"934","Actors Anonymous: The Truth Behind the Dream",2003,60,30000,3.2,8,45.5,14.5,0,0,0,0,14.5,0,0,24.5,"Missing",0,0,0,0,1,0,0
"938","Acts of Betrayal",1997,90,3000000,4.6,94,4.5,14.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"954","Adam Had Four Sons",1941,81,488000,6.2,76,4.5,0,0,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"966","Adaptation.",2002,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"969","Addams Family, The",1991,99,38000000,6.4,11549,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"1041","Adventure",1945,135,3500000,5.4,106,4.5,4.5,4.5,14.5,24.5,14.5,24.5,4.5,4.5,4.5,"Missing",0,0,1,1,0,1,0
"1051","Adventure's End",1937,60,90000,3.3,16,24.5,14.5,4.5,0,14.5,14.5,0,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"1058","Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"1061","Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,4000000,6.6,4556,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"Missing",0,0,1,0,0,0,0
"1068","Adventures of Dollie, The",1908,12,0,5.1,34,4.5,4.5,4.5,4.5,24.5,14.5,4.5,24.5,4.5,14.5,"Missing",1,0,0,0,0,0,1
"1071","Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,420,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"1079","Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"1084","Adventures of Lucky Pierre, The",1961,70,7100,1.9,15,44.5,4.5,4.5,4.5,4.5,4.5,0,14.5,0,4.5,"Missing",0,0,1,0,0,0,0
"1085","Adventures of Marco Polo, The",1938,100,2000000,5.8,136,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"1090","Adventures of Pinocchio, The",1996,92,25000000,5.6,577,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"1091","Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"1098","Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",1,0,0,0,0,1,0
"1099","Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,1,1,0,0,0,0
"1154","Affairs of Cellini, The",1934,80,549370,5.8,43,0,4.5,4.5,14.5,4.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"1159","Affairs with Bears",2002,27,7000,8.3,6,14.5,0,0,0,0,0,0,0,14.5,64.5,"Missing",0,0,0,0,1,0,1
"1166","Affliction",1997,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"1220","After Hours",1985,96,4500000,7.4,5630,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"1221","After Image",2001,92,1200000,3.9,60,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"1223","After Midnight",1989,90,3000000,5.1,160,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"1229","After Sex",2000,96,5000000,4.5,205,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,1,0,1,0
"1235","After the Sunset",2004,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"1248","Afterschool Delight",2003,10,5000,6.3,5,0,0,0,0,0,64.5,24.5,24.5,0,0,"Missing",0,0,1,0,0,0,1
"1272","Age of Innocence",1977,101,850000,6.1,47,4.5,0,0,4.5,24.5,4.5,14.5,14.5,4.5,24.5,"Missing",0,0,0,0,0,0,0
"1274","Age of Innocence, The",1993,139,34000000,7.1,6049,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,1,0
"1281","Agent Cody Banks",2003,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"1282","Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"1287","Agent on Ice",1985,96,2500000,4.4,15,14.5,0,4.5,4.5,14.5,14.5,4.5,14.5,14.5,14.5,"Missing",1,0,0,0,0,0,0
"1363","Aida degli alberi",2001,75,7000000,4.3,16,24.5,4.5,0,14.5,4.5,0,14.5,24.5,0,4.5,"Missing",0,1,0,0,0,0,0
"1372","Aimee Semple McPherson",2004,112,500000,8.4,8,14.5,0,0,0,0,0,0,14.5,24.5,45.5,"Missing",0,0,0,1,0,0,0
"1385","Air Bud",1997,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"1389","Air Force One",1997,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"1393","Air Marshal",2003,90,500000,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"1401","Airborne",1993,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"1406","Airmail",1932,84,305000,6,76,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"1409","Airplane!",1980,88,3500000,7.8,23369,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"Missing",0,0,1,0,0,0,0
"1410","Airport",1970,137,10000000,6.4,2918,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"1412","Airport 1975",1974,107,3000000,4.9,1385,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"Missing",1,0,0,1,0,0,0
"1445","Akasha",2001,82,1500,7.3,29,24.5,0,4.5,0,0,0,4.5,14.5,34.5,24.5,"Missing",0,0,0,0,0,0,0
"1468","Akumulator 1",1994,102,2000000,7.1,272,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"Missing",0,0,1,0,0,0,0
"1491","Aladdin",1992,90,28000000,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"Missing",0,1,1,0,0,0,0
"1504","Alamo, The",1960,192,12000000,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"Missing",1,0,0,1,0,0,0
"1505","Alamo, The",2004,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"1508","Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"1530","Albino Alligator",1996,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"1557","Alex's Apartment",1992,80,45000,6.8,6,0,0,0,0,14.5,34.5,14.5,14.5,14.5,0,"Missing",0,0,0,0,0,0,0
"1559","Alexander",2004,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"1562","Alexander's Ragtime Band",1938,106,2000000,7.5,204,0,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"1575","Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0
"1576","Alfie",1966,114,800000,7.1,1644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"Missing",0,0,1,1,0,0,0
"1577","Alfie",2004,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"1586","Ali",2001,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"1597","Alias",2002,98,1500000,5.7,266,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"1623","Alice",1990,102,12000000,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,1,0,1,0
"1629","Alice Doesn't Live Here Anymore",1974,112,85000,7.3,2231,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"Missing",0,0,0,1,0,0,0
"1639","Alice in Wonderland",1951,75,3000000,7.2,4656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,1,1,0,0,0,0
"1643","Alice's Adventures in Wonderland",1972,95,2500000,5.6,165,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,"Missing",0,0,0,0,0,0,0
"1652","Alien",1979,116,11000000,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,0,0,0,0
"1654","Alien Abduction",2005,90,600000,1.9,73,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"1658","Alien Dead",1980,69,12000,2.4,112,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"1660","Alien Escape",1997,85,1000000,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,"R",0,0,0,0,0,0,0
"1666","Alien Nation",1988,91,16000000,6,2171,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"1677","Alien: Resurrection",1997,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"1679","Aliens",1986,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,0,0,0,0,0,0
"1693","Alive",1993,127,32000000,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"Missing",1,0,0,1,0,0,0
"1707","All About the Benjamins",2002,95,14000000,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"1748","All Quiet on the Western Front",1930,147,1200000,8.2,6835,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",1,0,0,1,0,0,0
"1758","All This, and Heaven Too",1940,141,1370000,7.4,441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"Missing",0,0,0,1,0,1,0
"1759","All Through the Night",1942,107,750000,7,361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"Missing",1,0,1,1,0,0,0
"1784","All the President's Men",1976,138,8500000,8,12724,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,"Missing",0,0,0,1,0,0,0
"1785","All the Pretty Horses",2000,116,45000000,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"1786","All the Queen's Men",2001,105,25000000,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0
"1789","All the Real Girls",2003,108,1000000,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"1792","All the Stage Is a World",2005,89,12000,7,7,14.5,0,0,0,14.5,0,14.5,24.5,0,24.5,"Missing",0,0,1,1,1,0,0
"1793","All the Vermeers in New York",1990,87,250000,5.9,126,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"Missing",0,0,1,1,0,1,0
"1851","Alligator",1980,89,1000000,5.5,1032,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"1854","Alligator II: The Mutation",1991,92,3000000,2.7,282,34.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"1884","Almost Famous",2000,162,60000000,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"1892","Almost You",1985,96,1000000,4.9,44,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,1,0,0,0
